dataset,epoch,batch,sample_id,wrong_audio_1,wrong_audio_2,wrong_audio_3,wrong_audio_4,d_pos,d_neg_1,d_neg_2,d_neg_3,d_neg_4,d_neg_min,d_neg_mean,d_neg_max,d_neg_std,mean_minus_min,min_minus_pos,mean_minus_pos
flickr,0,22,13863597583,2828485617,7518616268,7245144112,12534574555,6.9789325607416686e-06,1.2523841178335715e-05,1.4539588846673723e-05,1.9506413082126528e-05,1.403538954036776e-05,1.2523841178335715e-05,1.5151308161875932e-05,1.9506413082126528e-05,2.621545179202765e-06,2.6274669835402165e-06,5.5449086175940465e-06,8.172375601134263e-06
flickr,0,22,6234078066,5712342547,7345167290,6102998777,6759277599,8.873402839526534e-05,0.00011447225551819429,9.997095912694931e-05,3.50280424754601e-05,5.991766374791041e-05,3.50280424754601e-05,7.734723021712853e-05,0.00011447225551819429,3.1562652185016496e-05,4.231918774166843e-05,-5.3705985919805244e-05,-1.1386798178136814e-05
flickr,0,22,6206110400,9597483532,15735346068,11592634734,23562692643,1.2731160495604854e-05,4.201468618703075e-05,1.983529728022404e-05,2.0194162061670795e-05,3.1289266189560294e-05,1.983529728022404e-05,2.833335292962147e-05,4.201468618703075e-05,9.143025767022678e-06,8.498055649397429e-06,7.104136784619186e-06,1.5602192434016615e-05
flickr,0,22,15251079848,7050264257,15735346068,2676043761,2976641655,3.77910073439125e-05,3.793031282839365e-05,3.494707198115066e-05,3.945448770537041e-05,2.7084613975603133e-05,2.7084613975603133e-05,3.4854121622629464e-05,3.945448770537041e-05,4.769701491603119e-06,7.76950764702633e-06,-1.0706393368309364e-05,-2.9368857212830335e-06
flickr,0,22,17035437854,16061916664,2810780615,3508721203,3776779354,5.423776383395307e-05,8.532784704584628e-05,7.216872472781688e-05,0.00012881789007224143,2.2567357518710196e-05,2.2567357518710196e-05,7.72204548411537e-05,0.00012881789007224143,3.788306400907099e-05,5.46530973224435e-05,-3.167040631524287e-05,2.298269100720063e-05
flickr,0,22,4859208217,4101928414,19698024623,6294457492,10387059465,5.208069978834828e-06,3.7148249703022884e-06,4.926944711769465e-06,1.15595657916856e-05,2.6805630568560446e-06,2.6805630568560446e-06,5.7204746326533495e-06,1.15595657916856e-05,3.4636818652837456e-06,3.039911575797305e-06,-2.527506921978784e-06,5.124046538185212e-07
flickr,0,22,3302126999,7345167290,16818540730,5711873937,7330157662,6.955537173780613e-06,1.745471490721684e-05,1.8653832739801146e-05,1.7987966202781536e-05,1.5484993127756752e-05,1.5484993127756752e-05,1.739537674438907e-05,1.8653832739801146e-05,1.1819433508899047e-06,1.9103836166323163e-06,8.52945595397614e-06,1.0439839570608456e-05
flickr,0,22,3076860198,6717280699,6342037619,4276027299,5536814873,7.551138696726412e-05,2.927325840573758e-05,5.2337134547997266e-05,3.9286864193854854e-05,5.635071647702716e-05,2.927325840573758e-05,4.4311993406154215e-05,5.635071647702716e-05,1.0732534853620687e-05,1.5038735000416636e-05,-4.623812856152654e-05,-3.11993935611099e-05
flickr,0,22,8100150542,5293931250,3039296729,6118457210,3066314952,7.573848961328622e-06,1.1619619726843666e-05,1.4979401385062374e-05,1.766635978128761e-05,1.4585768440156244e-05,1.1619619726843666e-05,1.4712787333337474e-05,1.766635978128761e-05,2.14350722525928e-06,3.0931676064938074e-06,4.045770765515044e-06,7.138938372008852e-06
flickr,0,22,5605239555,9825011633,11448459005,3463700076,3508721203,4.6505887439707294e-05,5.09109886479564e-05,0.0001228617475135252,7.662673306185752e-05,0.00010296896653017029,5.09109886479564e-05,8.834210893837735e-05,0.0001228617475135252,2.712880944905955e-05,3.743112029042095e-05,4.405101208249107e-06,4.1836221498670056e-05
flickr,0,22,9458420981,2462466249,7970284506,4812095633,3098473466,4.674490355682792e-06,3.4301115192647558e-06,1.0969328286591917e-05,5.610306743619731e-06,2.7399810278438963e-06,2.7399810278438963e-06,5.687431894330075e-06,1.0969328286591917e-05,3.228286684663241e-06,2.9474508664861787e-06,-1.934509327838896e-06,1.0129415386472829e-06
flickr,0,22,3956642916,8101519312,5647807766,23562692643,7992445091,1.7173579180962406e-05,1.77791607711697e-05,2.223867159045767e-05,9.310694622399751e-06,1.710588730929885e-05,9.310694622399751e-06,1.6608603573331493e-05,2.223867159045767e-05,4.65227461036602e-06,7.297908950931742e-06,-7.862884558562655e-06,-5.649756076309131e-07
flickr,0,22,7345167290,21147512278,5208284554,3771122163,5711873937,1.5658717529731803e-05,2.3260598027263768e-05,5.864801278221421e-05,2.241646870970726e-05,4.2167150240857154e-05,2.241646870970726e-05,3.66230574400106e-05,5.864801278221421e-05,1.496845105312963e-05,1.4206588730303338e-05,6.7577511799754575e-06,2.0964339910278795e-05
flickr,0,22,2457013135,2691638655,4839125742,4709434124,4757703041,4.795071163243847e-06,8.101990715658758e-06,7.157808340707561e-06,3.4073652841470903e-06,3.983710030297516e-06,3.4073652841470903e-06,5.662718592702731e-06,8.101990715658758e-06,2.005681314632415e-06,2.255353308555641e-06,-1.3877058790967567e-06,8.676474294588843e-07
