dataset,group,seed,kind,sample_index,sample_id,specific_audio_switch_spearman
vggss,C0,12345,best,344,2QuZzkvq_YQ_000000,0.2112372448979592
vggss,C0,12345,best,345,2REf8hLLYMw_000030,0.2545408163265306
vggss,C0,12345,best,346,2RHarmH7DEk_000024,-0.050535714285714295
vggss,C0,12345,best,347,2SchRwpsT7s_000048,-0.10290816326530614
vggss,C0,12345,best,348,2Ssh4YWMroo_000030,0.18511479591836735
vggss,C0,12345,best,349,2T8OhRXZDTs_000030,-0.2955357142857143
vggss,C0,12345,best,350,2TprtMP1RDo_000030,-0.08368622448979593
vggss,C0,12345,best,351,2U5f3uTl7qg_000167,0.015931122448979596
vggss,C0,12345,best,352,2UvzCdos0nc_000036,0.08494897959183675
vggss,C0,12345,best,353,2VFVe0RCn7g_000010,0.03635204081632652
vggss,C0,12345,best,354,2Vg5WTQZqwI_000022,-0.16468112244897956
vggss,C0,12345,best,355,2VptepDtAZ4_000058,0.14693877551020407
vggss,C0,12345,best,356,2VptepDtAZ4_000071,-0.03473214285714285
vggss,C0,12345,best,357,2Vu6HtlYio4_000219,-0.11153061224489795
vggss,C0,12345,best,358,2W4dw8XuetE_000050,-0.11420918367346938
vggss,C0,12345,best,359,2Wk4Y3_dMuc_000440,0.01973214285714284
vggss,C0,12345,best,360,2YJpjSldLtg_000495,0.31224489795918364
vggss,C0,12345,best,361,2YW7WBtqzzQ_000000,0.0878826530612245
