sample_id,sample_index,d_pos,d_neg_mean,d_neg_min,d_neg_max,margin,violation,softplus_loss,normalized_margin,group,delta_iou,aud_iou,ogl_iou,aud_precision,aud_coverage,aud_area,aud_gap,aud_auroc,aud_nearfp_response,auto_taxonomy
ALtDtYnWFuo_000030,1066,1.3002754712942988e-05,4.289733533369144e-05,2.594285979284905e-05,6.088126974646002e-05,2.989458062074845e-05,False,0.6931322333813457,0.5347859021519127,B_close,0.0358207980244423,0.3010900745840504,0.3369108726084928,0.3881082680076911,0.5731760859489441,0.4042370854591837,-0.0905414819717407,0.3791351318359375,0.7515512704849243,OVER
AMLJZImQ5Xk_000030,1067,2.4599978132755496e-05,3.1269059491023654e-05,1.890069506771397e-05,6.161032797535881e-05,6.6690813582681585e-06,False,0.6931438460248258,0.11936989650345699,B_close,0.0172082367343303,0.0589540412044374,0.0761622779387678,0.0589540412044374,1.0,0.8174226721938775,0.0297667980194091,0.83502197265625,0.9431068897247314,OVER
AMLvdc8Dbq4_000170,1068,3.039257171622012e-05,4.971542330167722e-05,1.9788001736742444e-05,9.152653365163133e-05,1.9322851585457098e-05,False,0.6931375191808241,0.24121002329330624,B_close,0.0251521927058533,0.2576055523423944,0.2827577450482478,0.2576055523423944,1.0,0.3445870535714285,0.0740922689437866,0.6969451904296875,0.8054052591323853,OVER
AMvZ3ANXNW0_000320,1069,3.153091165586375e-05,2.4736686100368388e-05,9.71471945376834e-06,4.422117126523517e-05,-6.794225555495359e-06,True,0.6931505776784932,-0.12074845391803463,B_close,-0.0059173721845702,0.4155349536457028,0.4096175814611326,0.4571365565907713,0.8203403353691101,0.361507493622449,-0.0260186195373535,0.4337310791015625,0.7955046892166138,OVER
AMxnCzC33lo_000070,1070,2.0211717128404416e-05,7.111487684596796e-05,4.9103182391263545e-05,0.0001096061532734,5.090315971756354e-05,False,0.693121729303978,0.557374987339096,transition,-0.0716252223801017,0.7688220845792396,0.6971968621991379,0.9774617290655444,0.782697319984436,0.5871532206632653,-0.0044888257980346,0.5128326416015625,0.7565776109695435,GOOD
AN_nK_tgQSc_000032,1071,4.659316618926823e-05,1.3366960047278552e-05,1.0959652172459757e-05,1.5523381080129184e-05,-3.322620614198968e-05,True,0.6931637938010139,-0.5541383528242032,C_aud_better,-0.1273985998509423,0.7954962181984873,0.6680976183475449,0.9538958361962347,0.8273046612739563,0.5801179846938775,0.1646613478660583,0.8555755615234375,0.6107481122016907,GOOD
ANxHyEeVnV8_000026,1072,1.066947152139619e-05,1.7765359643817646e-05,8.98503276403062e-06,3.3357155189150944e-05,7.0958881224214565e-06,False,0.693143632622178,0.24954914736941244,B_close,0.0293757201624098,0.1782829231636295,0.2076586433260394,0.1782829231636295,1.0,0.5304328762755102,0.0405970811843872,0.64111328125,0.8666887879371643,OVER
AO4Rp4DQXCw_000358,1073,2.628959191497416e-05,6.078019214328378e-05,3.547691449057311e-05,6.981869228184223e-05,3.449060022830962e-05,False,0.6931299354085313,0.39612593743319957,B_close,0.024409725903542,0.5029817869231182,0.5273915128266603,0.5061908623952419,0.9875527620315552,0.3686025191326531,0.1138036251068115,0.7776947021484375,0.7170042395591736,GOOD
AOwwp601QZw_000130,1074,2.056234734482132e-05,8.47344308567699e-05,4.2562372982501984e-05,0.0001077719425666,6.417208351194859e-05,False,0.6931150950329463,0.6094401367119767,transition,0.0542911282695024,0.5059356313753077,0.5602267596448102,0.6040102881738492,0.757039487361908,0.3796835140306122,-0.0073134303092956,0.5091705322265625,0.7451626062393188,GOOD
APag9oaOG_w_000674,1075,2.357790435780771e-05,8.957609043136472e-05,4.928274211124517e-05,0.0001513643364887,6.599818607355701e-05,False,0.6931141820113786,0.5832598806013379,B_close,0.0289720413802415,0.1629432032899855,0.191915244670227,0.1630761244391709,0.9950225949287416,0.5374880420918368,0.0006346106529235,0.468841552734375,0.8403164148330688,OVER
