sample_index,sample_id,group,correction_type,area_AUD,area_IMG,centroid_distance,components_AUD,components_IMG,GT_overlap_AUD,GT_overlap_IMG
1384,DUNOn71oGCw_000040,OGL_RESCUE,MIXED,0.2468311543367347,0.26070232780612246,2.2269943245027792,1,1,12385.0,13081.0
1403,DcU6AzN7imA_000210,OGL_RESCUE,MIXED,0.4820033482142857,0.4489795918367347,8.720096246144216,1,1,12127.0,11186.0
1410,DitJemO43co_000014,OGL_RESCUE,SHRINK,0.5563616071428571,0.4606784119897959,7.868128463114415,1,1,11160.0,11076.0
1412,DjPrMmqCqlg_000075,OGL_RESCUE,SHRINK,0.40493463010204084,0.3303770727040816,19.8151088308284,2,1,9747.0,8871.0
1414,DjqOjkoVu3M_000153,OGL_RESCUE,MIXED,0.6474410076530612,0.6603954081632653,10.651706818526904,1,1,14867.0,15000.0
1433,Dtj3xlb92Vk_000070,OGL_RESCUE,MIXED,0.5394610969387755,0.5167610012755102,4.773395989876372,1,1,13396.0,13246.0
1463,ECVfSkmVy5Y_000001,OGL_RESCUE,MIXED,0.38516422193877553,0.4080835459183674,3.8603650613245555,1,1,9400.0,9356.0
1467,EHiNnO7ZU9I_000110,OGL_RESCUE,SHRINK,0.5893853635204082,0.5013153698979592,10.974326502038476,1,1,12420.0,12420.0
1482,EQKs1YLMUuI_000004,IMG_ONLY,MIXED,0.31630660076530615,0.29727359693877553,0.6494945473029976,1,1,7773.0,7575.0
1482,EQKs1YLMUuI_000004,OGL_RESCUE,MIXED,0.31630660076530615,0.29727359693877553,0.6494945473029976,1,1,7773.0,7575.0
1494,EWWyukVobq8_000009,IMG_ONLY,SHRINK,0.6402264030612245,0.5073939732142857,17.6797778401197,1,1,15469.0,15475.0
1508,EqfXm8FwFe0_000009,OGL_RESCUE,MIXED,0.7139269770408163,0.7491230867346939,3.9353368857632534,1,1,16033.0,15994.0
1514,ExrHL878QsA_000039,IMG_ONLY,SHRINK,0.6227080676020408,0.4680125956632653,19.034464749489082,1,1,12075.0,12065.0
1514,ExrHL878QsA_000039,OGL_RESCUE,SHRINK,0.6227080676020408,0.4680125956632653,19.034464749489082,1,1,12075.0,12065.0
1540,FKElIiHW0Ws_000001,OGL_RESCUE,SHRINK,0.44511320153061223,0.3764548788265306,22.25344950186279,1,1,7451.0,7452.0
1561,Fl0yc47JSWM_000025,OGL_RESCUE,MIXED,0.6913663903061225,0.6896524234693877,1.7556505125409392,1,1,15188.0,15188.0
1569,FpYuJwh_vo8_000070,IMG_ONLY,SHRINK,0.6641222895408163,0.5522759885204082,5.615094732146144,1,1,14895.0,14641.0
1569,FpYuJwh_vo8_000070,OGL_RESCUE,SHRINK,0.6641222895408163,0.5522759885204082,5.615094732146144,1,1,14895.0,14641.0
1582,FxkZsO4Kd78_000022,OGL_RESCUE,MIXED,0.3317721619897959,0.35983338647959184,5.1850150054227475,1,1,8457.0,8243.0
1590,G4fTKotMoWI_000030,IMG_ONLY,MIXED,0.3599131058673469,0.3740832270408163,2.4435548218081666,1,1,17989.0,18684.0
1603,GESrnHr-SjU_000021,IMG_ONLY,EXPAND,0.37966358418367346,0.4223732461734694,5.1533727496046025,1,1,12795.0,14197.0
1603,GESrnHr-SjU_000021,OGL_RESCUE,EXPAND,0.37966358418367346,0.4223732461734694,5.1533727496046025,1,1,12795.0,14197.0
1606,GGqC1H9BeTg_000180,OGL_RESCUE,MIXED,0.7613998724489796,0.7569754464285714,5.3577318643014635,1,1,16789.0,16789.0
1617,GO_1gBjIR1c_000030,OGL_RESCUE,SHRINK,0.48985570790816324,0.4084422831632653,4.927838614445442,1,1,7986.0,7986.0
1621,GUJCLsTnqTA_000174,OGL_RESCUE,SHRINK,0.6456074617346939,0.5785036670918368,12.87900133553972,1,1,10992.0,10634.0
1633,GafN7X_ifI0_000030,OGL_RESCUE,SHRINK,0.7339963329081632,0.5835857780612245,18.43656456897358,1,1,14161.0,14136.0
1634,GbI7rZa22Zs_000052,OGL_RESCUE,EXPAND,0.3576610331632653,0.3994738520408163,1.802559130634953,1,1,8772.0,8772.0
1648,GmgaXjkHfk4_000164,IMG_ONLY,SHRINK,0.5928730867346939,0.44957748724489793,21.730689194730974,1,1,14308.0,14158.0
1652,GnyxoE5mCeQ_000030,OGL_RESCUE,SHRINK,0.4639469068877551,0.3412986288265306,16.844200171662507,1,1,22211.0,16242.0
1658,GsBd9c0-Mk4_000330,IMG_ONLY,SHRINK,0.45902423469387754,0.2118542729591837,46.96245686995058,1,1,10504.0,8112.0
1658,GsBd9c0-Mk4_000330,OGL_RESCUE,SHRINK,0.45902423469387754,0.2118542729591837,46.96245686995058,1,1,10504.0,8112.0
1665,GvRM_UnjJoE_000030,OGL_RESCUE,SHRINK,0.6681680484693877,0.5705516581632653,7.8597527448460776,1,1,13440.0,11642.0
