dataset,model,sample_id,AUD,IMG_QUERY,OBJ_PRIOR,IQR,OGL,EXTRA_IQR_OGL
vggss,original_1.3g_final,-fAVezaAX18_000126,0.6772210959873862,0.6658395901137498,0.493972408457968,0.6840631937964542,0.6262184333279717,0.6851542416452442
vggss,original_1.3g_final,-fJsZm3YRc0_000030,0.6589735107763557,0.5377474117923176,0.35090010789936965,0.6159730325424608,0.688539501039501,0.6627934241721596
vggss,original_1.3g_final,-fPdOa99Iwg_000030,0.400601720134733,0.31144335825186886,0.49914866245412237,0.3948352501234742,0.4370187972532427,0.41721297107800176
vggss,original_1.3g_final,-fTfRh0_RQ4_000030,0.31374079857238457,0.32150408594776847,0.28196538246789504,0.3141261864879955,0.3997442091800483,0.33752287248402674
vggss,original_1.3g_final,-g-GjgEq8l4_000017,0.13144322031311992,0.15590950226244343,0.19086460032626426,0.14424461636357547,0.14448248086991541,0.14170559978943212
vggss,original_1.3g_final,-gCqnkIUmp0_000140,0.08958108594030924,0.13228877429591432,0.08280399274047187,0.1025260029717682,0.09225608051439754,0.09998940228910555
vggss,original_1.3g_final,-gSfPQqi6nI_000030,0.6774334498521107,0.6438065038456349,0.4923000320091048,0.6643290627107216,0.6071465633539728,0.6365469396124535
vggss,original_1.3g_final,-hYRFCQdbLg_000030,0.4701148679343241,0.5203440538519073,0.4917711007096482,0.5034453057708872,0.5044949387697317,0.5062389848431441
vggss,original_1.3g_final,-hedbpc8T0E_000030,0.5034636229855354,0.5071262470932413,0.19234822451317296,0.5069441886166881,0.38309178743961353,0.47838649155722324
vggss,original_1.3g_final,-hss7xpzIVc_000030,0.08759578842439723,0.07129579428394392,0.06467399884228806,0.08547841913676547,0.08283480750174331,0.08359842654352659
vggss,original_1.3g_final,-iF4a6f5PJ8_000000,0.5814991175785023,0.5771630615640599,0.5075211209561096,0.5819132323986693,0.5897454598497557,0.5851160197895617
vggss,original_1.3g_final,-iF4a6f5PJ8_000060,0.6281567276325917,0.5887519374123552,0.46052982487332206,0.611716621253406,0.6093610093610093,0.6159820704045751
vggss,original_1.3g_final,-jZENGDFArw_000080,0.32309163346613545,0.3036000770069948,0.08689352360043907,0.31612148013266567,0.2873436219125352,0.3177509767283846
vggss,original_1.3g_final,-kPDH9n0PG4_000310,0.01049651267177681,0.012031027386417602,0.0,0.011100562331118089,0.016196920453940007,0.012486137922536658
vggss,original_1.3g_final,-kZVoaYYU6o_000000,0.5427535971868385,0.46423982869379016,0.7209323093409538,0.5185390558574544,0.6367466495465853,0.5777743797545778
vggss,original_1.3g_final,-lPXTBXa0tE_000030,0.45957419017763845,0.4969631661442006,0.3532850052246604,0.4730603448275862,0.4153605015673981,0.44644723092998956
vggss,original_1.3g_final,-mKtgDnG0oM_000030,0.05339685169842585,0.043755362176737346,0.0,0.05455146052569487,0.01067810532079949,0.028190858498312196
