dataset,group,seed,kind,sample_index,sample_id,region,raw_auc,conditional_auc,conditional_pairs
flickr,C0,12345,best,8,10045181004,FarFP,,,0
flickr,C0,12345,best,8,10045181004,HighAUDFP,0.7268880208333334,0.6908602150537635,372
flickr,C0,12345,best,9,10060697266,FP,0.2598724365234375,0.23535302954431647,3994
flickr,C0,12345,best,9,10060697266,NearFP,0.267608642578125,0.23491432828408243,4027
flickr,C0,12345,best,9,10060697266,FarFP,,,0
flickr,C0,12345,best,9,10060697266,HighAUDFP,,,0
flickr,C0,12345,best,10,10061269855,FP,0.2695159912109375,0.43677390527256477,4476
flickr,C0,12345,best,10,10061269855,NearFP,0.2630157470703125,0.4312849162011173,4475
flickr,C0,12345,best,10,10061269855,FarFP,,,0
flickr,C0,12345,best,10,10061269855,HighAUDFP,,,0
flickr,C0,12345,best,11,10067897816,FP,0.137542724609375,0.17924743443557584,4385
flickr,C0,12345,best,11,10067897816,NearFP,0.141632080078125,0.14301613800779076,5391
flickr,C0,12345,best,11,10067897816,FarFP,0.1024322509765625,0.13895971443141256,3922
flickr,C0,12345,best,11,10067897816,HighAUDFP,0.41434151785714285,0.6071428571428571,560
flickr,C0,12345,best,12,10069511285,FP,0.960357666015625,0.890524625267666,3736
flickr,C0,12345,best,12,10069511285,NearFP,0.9458465576171875,0.8540172825887111,5439
flickr,C0,12345,best,12,10069511285,FarFP,,,0
flickr,C0,12345,best,12,10069511285,HighAUDFP,0.91828125,0.7759036144578313,1660
flickr,C0,12345,best,13,10079676496,FP,0.5232391357421875,0.5401903754627181,3782
flickr,C0,12345,best,13,10079676496,NearFP,0.5482025146484375,0.5343223535328137,3977
flickr,C0,12345,best,13,10079676496,FarFP,,,0
flickr,C0,12345,best,13,10079676496,HighAUDFP,0.4644097222222222,0.2253731343283582,670
flickr,C0,12345,best,14,10080652613,FP,0.8868560791015625,0.6378021978021978,2275
flickr,C0,12345,best,14,10080652613,NearFP,0.894866943359375,0.6982119494112516,2293
flickr,C0,12345,best,14,10080652613,FarFP,,,0
flickr,C0,12345,best,14,10080652613,HighAUDFP,0.5849609375,0.6375,80
flickr,C0,12345,best,15,10106776154,FP,0.1796875,0.010704908099373864,4951
