dataset,sample_id,sample_index,RemoveFP,RemoveTP,AddTP,AddFP
vggss,1xyVkQJ8A54_000000,302,288,602,1225,58
vggss,1yKGjTOk7NY_000030,303,2614,0,0,1841
vggss,1yWGmdevTuM_000030,304,991,89,91,197
vggss,1z19uJK6SB0_000076,305,4472,1888,500,0
vggss,1zQtgRqPHZU_000024,306,3105,273,0,4049
vggss,20Nlj7Cz4E0_000030,307,1094,339,0,727
vggss,20qZLse0acs_000030,308,1015,1030,436,0
vggss,21I0YiLHzvg_000038,309,3166,2014,898,371
vggss,24tWz7gmngI_000030,310,1101,1574,53,0
vggss,253aGgk7NSE_000010,311,1277,2999,318,14
vggss,25PvbXDbZO8_000035,312,0,50,2474,48
vggss,25QsgUI0x8U_000020,313,3247,0,0,0
vggss,26dqZUTv5os_000175,314,3343,747,0,0
vggss,28StN9ykZ68_000094,315,944,0,0,1017
vggss,28ehZa0fzmo_000028,316,13,0,3,3538
vggss,28p0DrP3KgI_000021,317,3656,0,1,6
vggss,29MZ0dwOBOM_000112,318,777,768,237,438
vggss,29ZWMYIEq3g_000141,319,4654,574,0,222
vggss,29dwfsI1XlQ_000006,320,663,2655,436,0
vggss,2ACsPTob5cY_000118,321,0,1336,165,139
vggss,2ACsPTob5cY_000349,322,0,1431,325,127
vggss,2ASyuuVhr6M_000052,323,208,1488,491,885
vggss,2B-xGbzOjYY_000030,324,2419,2046,121,27
vggss,2BR2Ivk_EFA_000021,325,621,31,436,294
vggss,2Bljhdt61Y4_000038,326,1127,206,3,19
vggss,2C4aXzGI2eI_000415,327,2472,428,191,242
vggss,2EYGJpU7juM_000130,328,1690,109,0,179
vggss,2HZcxlRs-hg_000030,329,145,3,1213,1771
vggss,2IEoe3YvCJo_000020,330,122,1486,15,0
vggss,2INpPpv4NRg_000560,331,3286,188,0,1061
vggss,2ISY5z0QQfc_000101,332,1347,333,0,42
vggss,2Jpg_KvJWL0_000030,333,823,2049,247,2
vggss,2JpvRGz5Dq0_000001,334,1104,1015,212,1
vggss,2K5Px-N6BEI_000447,335,0,169,560,2230
vggss,2KEg1a42Wx0_000288,336,198,561,891,514
vggss,2LRhkMH48_Q_000030,337,131,63,1903,1079
vggss,2M0i--pR-To_000037,338,802,37,0,44
vggss,2MKPKDQcgVc_000036,339,678,519,103,233
vggss,2NESqWU89V0_000338,340,87,0,21,264
vggss,2Oe5kao1ycY_000310,341,364,1683,488,246
vggss,2PHV2xNjGVU_000126,342,1433,37,0,1372
vggss,2Pl5B1Tpn1U_000024,343,1006,424,0,1444
vggss,2QuZzkvq_YQ_000000,344,1539,0,531,4022
vggss,2REf8hLLYMw_000030,345,286,0,0,1417
vggss,2RHarmH7DEk_000024,346,25,348,453,1416
vggss,2SchRwpsT7s_000048,347,1125,410,263,454
vggss,2Ssh4YWMroo_000030,348,1074,1146,1017,54
vggss,2T8OhRXZDTs_000030,349,230,30,362,635
vggss,2TprtMP1RDo_000030,350,0,0,931,4880
vggss,2U5f3uTl7qg_000167,351,1902,69,0,556
vggss,2UvzCdos0nc_000036,352,47,0,0,2214
