sample_id,sample_index,readout,grid,gt_response,nearfp_response,gt_nearfp_gap,precision,coverage,activated_area
6HQqly6duac_000199,698,AUD,native_14x14_descriptive,0.9009345,0.8078312953002751,0.09310322208330035,0.2836186835106383,1.0,0.47959183673469385
6KiFICzs6UI_000150,702,AUD,native_14x14_descriptive,0.8402911,0.7593854235019535,0.08090565935708582,0.4757699275362319,0.9966793,0.3520408163265306
6azSzS5ZjN0_000051,724,AUD,native_14x14_descriptive,0.6181165,0.5800263746641576,0.03809012332931161,0.36126373626373626,0.6017446,0.4642857142857143
6k54aEMkp-w_000115,738,AUD,native_14x14_descriptive,0.61680585,0.5058223863597959,0.11098346509970725,1.0,0.5817847,0.4030612244897959
6l5RWxeju8U_000020,741,AUD,native_14x14_descriptive,0.8293666,0.6662767068482935,0.16308991750702262,0.6441326530612245,0.95327985,0.5
6mbQDmij4oQ_000010,743,AUD,native_14x14_descriptive,0.7118975,0.6346872465219349,0.07721024588681757,0.88885498046875,0.7662317,0.32653061224489793
6vl7eSBL-ag_000090,754,AUD,native_14x14_descriptive,0.819339,0.8231914220377803,-0.00385244470089674,0.45126488095238093,0.98577815,0.6428571428571429
6wRJg4fbELE_000196,757,AUD,native_14x14_descriptive,0.83426756,0.7961192892398685,0.03814826742745936,0.39761178861788615,0.95894605,0.6275510204081632
75AjL_RBmfA_000059,773,AUD,native_14x14_descriptive,0.8685514,0.7936563731636852,0.07489500031806529,0.1579623287671233,1.0,0.37244897959183676
75PJeJ2hGcw_000030,774,AUD,native_14x14_descriptive,0.80647296,0.6566352131776512,0.14983774395659566,0.62890625,0.94974613,0.4030612244897959
7Gua0-UrKIw_000030,785,AUD,native_14x14_descriptive,0.721934,0.7169705987907946,0.004963421728461981,0.6728236607142857,0.7085268,0.35714285714285715
7UoFNdp0UYg_000020,809,AUD,native_14x14_descriptive,0.84684837,0.7047438401496038,0.14210452849511057,0.492866847826087,0.96172327,0.46938775510204084
7VMWi8xm0NM_000020,811,AUD,native_14x14_descriptive,0.7304018,0.7312357741175219,-0.0008339601336047053,0.414245035046729,0.75828654,0.5459183673469388
7wJc_LpV8E4_000012,839,AUD,native_14x14_descriptive,0.7779249,0.6666002570418641,0.11132463824469596,0.5020833333333333,0.83984315,0.45918367346938777
7yjEC7Cr6i8_000030,841,AUD,native_14x14_descriptive,0.60374933,0.782358814496547,-0.17860947968438268,0.6030344202898551,0.53651655,0.3520408163265306
8OukwZl_vsg_000030,879,AUD,native_14x14_descriptive,0.79345375,0.6697572972625494,0.12369645573198795,0.5066784274193549,0.96862394,0.6326530612244898
8QiTQN5reqs_000218,881,AUD,native_14x14_descriptive,0.6917505,0.6322884877445176,0.05946203868370503,0.6830357142857143,0.6857143,0.2857142857142857
8_vWCyWokX0_000079,892,AUD,native_14x14_descriptive,0.91546136,0.7880339799448848,0.12742738146334887,0.3121875,1.0,0.3826530612244898
8cPqZBlI6Z4_000008,898,AUD,native_14x14_descriptive,0.79900765,0.701720257056877,0.09728739713318646,0.6353326612903226,0.93979496,0.4744897959183674
92k_81uqMSM_000070,930,AUD,native_14x14_descriptive,0.8353415,0.7025412939256057,0.13280021923128515,0.36316856971153844,0.9787428,0.5306122448979592
9JAatGaveSc_000035,950,AUD,native_14x14_descriptive,0.85698754,0.7319569339742884,0.12503060197923332,0.41398195876288657,0.996124,0.49489795918367346
9Ti98L4PRCo_000017,968,AUD,native_14x14_descriptive,0.87499744,0.7885504446458071,0.08644699235446751,0.34716796875,0.9793388,0.4897959183673469
9aR-uBVtrVA_000010,981,AUD,native_14x14_descriptive,0.92238003,0.798501183046028,0.12387884710915387,0.31904296875,1.0,0.40816326530612246
9m1FFbsR704_000127,996,AUD,native_14x14_descriptive,0.86406136,0.7347327476600185,0.1293286079308018,0.2824074074074074,0.99321574,0.413265306122449
A0dHhG6Y8C0_000030,1019,AUD,native_14x14_descriptive,0.792875,0.7186070028692484,0.07426798902451992,0.3969785391566265,0.9428795,0.42346938775510207
AA0Ekw6dlQo_000046,1034,AUD,native_14x14_descriptive,0.88207483,0.765737644629553,0.1163371882867068,0.5266741071428571,1.0,0.35714285714285715
AAHybONa3n4_000150,1036,AUD,native_14x14_descriptive,0.8434164,0.6899160837056115,0.1535003090975806,0.5745698735955056,1.0,0.45408163265306123
