scale,dataset,sample_id,sample_index,readout,precision,coverage,activated_area,gt_nearfp_gap,gt_response,nearfp_response,groupA,ogl_help,aud_better,ogl_minus_aud_iou
144k,flickr,10389014583,37,IMG_QUERY,0.8215879950612593,0.649998128414154,0.4196827168367347,0.08955705165863037,0.6305225491523743,0.5409654974937439,False,False,False,-0.05500830721873662
144k,flickr,10389014583,37,IQR,0.7597520228654241,0.7090581059455872,0.49507732780612246,0.07021278142929077,0.6756410002708435,0.6054282188415527,False,False,False,-0.05500830721873662
144k,flickr,10389014583,37,OGL,0.7253727694940112,0.6689333915710449,0.4891980229591837,0.050810813903808594,0.6591408848762512,0.6083300709724426,False,False,False,-0.05500830721873662
144k,flickr,10409146004,38,AUD,0.6598501542529749,0.7612365484237671,0.4522082270408163,-0.04580932855606079,0.7553861737251282,0.801195502281189,False,False,False,-0.061892575305032005
144k,flickr,10409146004,38,IMG_QUERY,0.7164602414654455,0.6999949216842651,0.3829719387755102,0.0030858516693115234,0.7192387580871582,0.7161529064178467,False,False,False,-0.061892575305032005
144k,flickr,10409146004,38,IQR,0.6921253748669827,0.7275269627571106,0.4120296556122449,-0.026717424392700195,0.7364528179168701,0.7631702423095703,False,False,False,-0.061892575305032005
144k,flickr,10409146004,38,OGL,0.6222354776544003,0.6894956231117249,0.43435108418367346,-0.10097306966781616,0.6947469711303711,0.7957200407981873,False,False,False,-0.061892575305032005
144k,flickr,10409351364,39,AUD,0.8254582183681514,0.9546154141426086,0.40449617346938777,0.21238034963607788,0.7954513430595398,0.5830709934234619,False,False,False,-0.001697980640992136
144k,flickr,10409351364,39,IMG_QUERY,0.8518597172501668,0.7999715209007263,0.32846380739795916,0.26605314016342163,0.7571227550506592,0.49106961488723755,False,False,False,-0.001697980640992136
144k,flickr,10409351364,39,IQR,0.8492177170559718,0.8783475756645203,0.3617665816326531,0.23966175317764282,0.778153121471405,0.5384913682937622,False,False,False,-0.001697980640992136
