scale,dataset,sample_id,sample_index,readout,precision,coverage,activated_area,gt_nearfp_gap,gt_response,nearfp_response,groupA,ogl_help,aud_better,ogl_minus_aud_iou
144k,vggss,D1KdCkSFmnk_000000,1332,IMG_QUERY,0.4854372870355346,0.9972500205039978,0.49131058673469385,0.10582268238067627,0.8824810981750488,0.7766584157943726,True,True,False,0.11264574489720391
144k,vggss,D1KdCkSFmnk_000000,1332,IQR,0.48671163849154747,0.9980833530426025,0.49043367346938777,0.12165319919586182,0.8839030265808105,0.7622498273849487,True,True,False,0.11264574489720391
144k,vggss,D1KdCkSFmnk_000000,1332,OGL,0.6170826342281879,0.9807500243186951,0.38010204081632654,0.15647166967391968,0.8148455619812012,0.6583738923072815,True,True,False,0.11264574489720391
144k,vggss,D4Jb8jIl-2A_000378,1342,AUD,0.324923831463179,0.660997748374939,0.5363919005102041,-0.10841143131256104,0.7069698572158813,0.8153812885284424,True,True,False,0.184665486497823
144k,vggss,D4Jb8jIl-2A_000378,1342,IMG_QUERY,0.30050750834260287,0.6534391641616821,0.5733418367346939,-0.09671264886856079,0.6912862658500671,0.7879989147186279,True,True,False,0.184665486497823
144k,vggss,D4Jb8jIl-2A_000378,1342,IQR,0.3064683860232945,0.6682539582252502,0.5749362244897959,-0.1059996485710144,0.7150821089744568,0.8210817575454712,True,True,False,0.184665486497823
144k,vggss,D4Jb8jIl-2A_000378,1342,OGL,0.4881967213114754,0.9003779292106628,0.48628826530612246,0.0261383056640625,0.8064253330230713,0.7802870273590088,True,True,False,0.184665486497823
144k,vggss,DA2QCyip6mY_000618,1349,AUD,0.9220299054412198,0.6436728835105896,0.6091159119897959,-0.0877528190612793,0.6355037093162537,0.723256528377533,False,False,True,-0.12147740661111922
144k,vggss,DA2QCyip6mY_000618,1349,IMG_QUERY,0.9711805082049184,0.4880082309246063,0.43843670280612246,-0.047138750553131104,0.5697824358940125,0.6169211864471436,False,False,True,-0.12147740661111922
144k,vggss,DA2QCyip6mY_000618,1349,IQR,0.9264198584586935,0.5950205326080322,0.5604073660714286,-0.07198697328567505,0.6128777265548706,0.6848646998405457,False,False,True,-0.12147740661111922
