scale,dataset,sample_index,sample_id,d_pos,d_neg_1,d_neg_2,d_neg_3,d_neg_4,D_min,D_mean,D_max,D_std,mean_minus_min,pos_minus_min,pos_minus_mean,negative_cv,weight_max,N_eff,weight_entropy,group,delta_iou,group_a
10k,vggss,1420,Do5DfkHBhtg_000400,3.87240870622918e-05,1.446720943931723e-05,1.7204240066348575e-05,9.539540769765154e-06,1.310470270254882e-05,9.539540769765154e-06,1.3578923244494945e-05,1.7204240066348575e-05,2.760139050948548e-06,4.039382474729791e-06,2.9184546292526647e-05,2.5145163817796856e-05,0.2032664152562716,0.2901631204322135,3.95496516000772,1.3806499684395055,,,
10k,vggss,1421,DoPxrS9KYB0_000490,3.2203850423684344e-05,8.765638085606042e-06,2.422824218228925e-05,2.7884105293196623e-05,2.860146742023062e-05,8.765638085606042e-06,2.2369863245330635e-05,2.860146742023062e-05,8.027581678576982e-06,1.3604225159724592e-05,2.34382123380783e-05,9.83398717835371e-06,0.358856984977439,0.3996043782439252,3.564859817850284,1.3307939013388037,,,
10k,vggss,1422,DoT_HlcSeck_000030,1.4259213457989972e-05,2.3910903109936044e-05,1.9078741388511844e-05,6.205104000400752e-05,2.173133361793589e-05,1.9078741388511844e-05,3.1693004530097824e-05,6.205104000400752e-05,1.761055040534105e-05,1.261426314158598e-05,-4.819527930521872e-06,-1.743379107210785e-05,0.555660489323973,0.3415655931321197,3.368809194530289,1.2665107903818706,,,
10k,vggss,1423,DpLi9YH5idY_000030,2.7857891836902127e-05,4.5808345021214336e-05,4.005993832834065e-05,2.3043694454827343e-05,3.734802521648817e-05,2.3043694454827343e-05,3.6565000755217625e-05,4.5808345021214336e-05,8.382911982653809e-06,1.352130630039028e-05,4.814197382074781e-06,-8.707108918315498e-06,0.2292605444964366,0.3971042374760438,3.5596487094802463,1.328910760937212,,,
10k,vggss,1424,DpdjtEEqTIQ_000003,1.9385206542210653e-05,5.310006235959008e-05,5.3565057896776125e-05,2.356809636694379e-05,2.327350375708193e-05,2.327350375708193e-05,3.837668009509798e-05,5.3565057896776125e-05,1.495714622750469e-05,1.5103176338016056e-05,-3.888297214871272e-06,-1.8991473552887328e-05,0.389745704694639,0.3814157271510516,3.155945500930608,1.245865151561068,,,
10k,vggss,1425,DpxmQlaOtDg_000194,4.071857256349176e-05,2.940537888207473e-05,8.293694918393157e-06,0.0001328374200966,0.0002486050361767,8.293694918393157e-06,0.0001047853825184,0.0002486050361767,9.547748466890616e-05,9.649168760006432e-05,3.2424877645098604e-05,-6.406680995496572e-05,0.9111717910853474,0.6875874848168525,1.764452204243899,0.6507402995145014,,,
10k,vggss,1426,DqQT03hOLA4_000240,2.4907260012696497e-05,1.3678901268576736e-05,2.4115859559969977e-05,3.870045838993974e-05,4.792086110683158e-05,1.3678901268576736e-05,3.110402008132951e-05,4.792086110683158e-05,1.3162267758296526e-05,1.742511881275277e-05,1.122835874411976e-05,-6.196760068633012e-06,0.4231693435086645,0.4302618446412998,3.23486624082537,1.2688327336926686,,,
10k,vggss,1427,Dqv8aWzOgmo_000049,2.4556434254918717e-06,4.535104380920529e-06,5.334557499736548e-05,6.536785349453567e-06,2.039396895270329e-05,4.535104380920529e-06,2.1202858420110715e-05,5.334557499736548e-05,1.9536608298019683e-05,1.6667754039190186e-05,-2.079460955428658e-06,-1.8747214994618844e-05,0.9214138919821012,0.3808545556311538,3.16417683329198,1.2282117728165387,,,
10k,vggss,1428,Dr0Crzj0f4I_000141,7.09429950802587e-05,4.682676080847159e-05,4.45176447101403e-05,3.0420285838772543e-05,2.1575306163867936e-05,2.1575306163867936e-05,3.583499938031309e-05,4.682676080847159e-05,1.035452947483851e-05,1.4259693216445156e-05,4.936768891639076e-05,3.5107995699945604e-05,0.288950178705097,0.3985891836169677,3.4478780365192483,1.3080037684398584,,,
10k,vggss,1429,DrN1hZuDLqA_000153,4.6125413064146414e-05,2.4451621357002296e-05,4.1898205381585285e-05,1.629291546123568e-05,6.6178654378745705e-06,6.6178654378745705e-06,2.2315151909424454e-05,4.1898205381585285e-05,1.2949253061487178e-05,1.5697286471549887e-05,3.950754762627184e-05,2.381026115472196e-05,0.580289711405382,0.4073259481057234,3.349624274258923,1.2853280600230277,,,
