sample_id,sample_index,AddTP,AddFP,RemoveTP,RemoveFP,aud_gt_response,aud_nearfp_response,aud_area,ogl_gt_response,ogl_nearfp_response,ogl_area,ogl_minus_aud_gt_response,ogl_minus_aud_nearfp_response,ogl_minus_aud_area
BB3CCG8SD54_000000,1158,0,0,0,8969,0.888712465763092,0.7873479127883911,0.4482820471938775,0.8617538213729858,0.7390674352645874,0.26953125,-0.0269586443901062,-0.04828047752380371,-0.1787507971938775
BR5NGmkK8w4_000056,1182,0,0,899,5126,0.8642200231552124,0.6766268610954285,0.4970902423469387,0.818477213382721,0.5872878432273865,0.3770129145408163,-0.045742809772491455,-0.08933901786804199,-0.1200773278061224
BUGx2e7OgFE_000030,1188,0,0,0,6329,0.9431849718093872,0.8350591659545898,0.386360012755102,0.903989315032959,0.7366427183151245,0.2602240114795918,-0.03919565677642822,-0.09841644763946533,-0.12613600127551022
BaZGT-2NhEA_000157,1201,0,0,36,3758,0.9284610748291016,0.7772899866104126,0.2784199617346938,0.8686020970344543,0.6801519989967346,0.2028061224489795,-0.05985897779464722,-0.09713798761367798,-0.0756138392857143
BjHakHE9geo_000011,1216,75,23,362,3684,0.8155842423439026,0.6651647090911865,0.3301777742346938,0.8032807111740112,0.5948125123977661,0.2514947385204081,-0.012303531169891357,-0.07035219669342041,-0.0786830357142857
BqY5blRv2Lw_000090,1225,1512,254,0,2349,0.515720009803772,0.9022105932235718,0.2661033163265306,0.605130672454834,0.9070736169815063,0.2544842155612244,0.08941066265106201,0.00486302375793457,-0.0116191007653062
BqmRiPZgeVY_000296,1226,10,0,0,8131,0.8401397466659546,0.7005003094673157,0.4924067283163265,0.8176282644271851,0.6238206028938293,0.3305564413265306,-0.02251148223876953,-0.07667970657348633,-0.16185028698979587
Bw_fNvTp6jg_000030,1231,76,328,704,5891,0.8187648057937622,0.6649450063705444,0.7130301339285714,0.7899986505508423,0.6175339221954346,0.5896444515306123,-0.028766155242919922,-0.04741108417510986,-0.1233856823979591
C7hEJn-CQEU_000030,1250,4411,1964,0,1630,0.7184494733810425,0.8355315327644348,0.5329041772959183,0.766816258430481,0.7753520607948303,0.6274713010204082,0.04836678504943848,-0.06017947196960449,0.09456712372448983
CD2NWcdAcDM_000006,1255,5,52,0,6451,0.8507252931594849,0.7766557931900024,0.3535554846938775,0.8517662286758423,0.7265037298202515,0.2261240433673469,0.0010409355163574219,-0.05015206336975098,-0.1274314413265306
