sample_index,sample_id,IoU_AUD_FINE,IoU_IMG_L4,IoU_IMG_FINE,IoU_IQR_OLD,IoU_IQR_FINE,IoU_IQR_FINE_EVALSPACE,delta_IQR_FINE_vs_IQR_OLD,delta_IQR_FINE_vs_AUD_FINE,delta_IQR_FINE_EVALSPACE_vs_IQR_FINE,AUD_FINE_raw_reconstruction_max_abs_error,IMG_L4_raw_reconstruction_max_abs_error,AUD_FINE_final_map_max_abs_error,IMG_L4_final_map_max_abs_error,IQR_OLD_final_map_max_abs_error
91,12031178616,0.6914159351336863,0.6803556027333643,0.6692564551856383,0.6890423819742489,0.6811447364050095,0.6796986492316883,-0.007897645569239442,-0.010271198728676767,-0.0014460871733211755,0.0,0.0,0.0,0.0,0.0
92,12048726756,0.6204235548696081,0.5942028985507246,0.6366534650211172,0.6173772003752763,0.6292327336792255,0.6294242242954388,0.011855533303949173,0.008809178809617402,0.00019149061621326346,0.0,0.0,0.0,0.0,0.0
93,12066557153,0.48540309186150504,0.509299909514394,0.505001163061177,0.49320092168889756,0.4912558590593179,0.4920830230223748,-0.0019450626295796636,0.005852767197812858,0.0008271639630568761,0.0,0.0,0.0,0.0,0.0
94,12103535156,0.4544547300320039,0.5008339621142925,0.45496543941317535,0.46412061731029086,0.4526411971588166,0.45266006964796746,-0.01147942015147424,-0.0018135328731872513,1.887248915083406e-05,0.0,0.0,0.0,0.0,0.0
95,12158276143,0.4138560387373126,0.47369542519869595,0.4457594873335336,0.4416500778524548,0.4269835480217312,0.42735009894142284,-0.014666529830723585,0.013127509284418637,0.0003665509196916217,0.0,0.0,0.0,0.0,0.0
96,12328837165,0.7665391721500113,0.7044718269119519,0.6392787734830491,0.7323629409264768,0.7158741638040137,0.7153783612876028,-0.016488777122463105,-0.05066500834599763,-0.0004958025164109037,0.0,0.0,0.0,0.0,0.0
97,12373955905,0.7485766152322799,0.651226308893277,0.7686497728641016,0.7352594235814011,0.762184974866613,0.7629591397849462,0.0269255512852119,0.013608359634333045,0.0007741649183332644,0.0,0.0,0.0,0.0,0.0
98,12444360833,0.6411344955288591,0.44336783238509486,0.5174836000541827,0.5434176326623537,0.5815279361459521,0.5824910792684066,0.03811030348359845,-0.05960655938290704,0.0009631431224544906,0.0,0.0,0.0,0.0,0.0
99,12512072175,0.7070022237891197,0.7346947464025204,0.7109770285992586,0.7227820341994226,0.7100777714548953,0.7102532845726669,-0.012704262744527295,0.0030755476657755576,0.0001755131177716418,0.0,0.0,0.0,0.0,0.0
100,12534178685,0.839336994307018,0.7893549243429785,0.835147507629705,0.8263629092597848,0.8372883497599192,0.8373950854484781,0.010925440500134331,-0.0020486445470988546,0.00010673568855890103,0.0,0.0,0.0,0.0,0.0
101,12598610153,0.6810979015399345,0.6020423192105651,0.6203705223084622,0.6548758879659281,0.6572490947764951,0.656104259087733,0.0023732068105669635,-0.02384880676343948,-0.0011448356887621136,0.0,0.0,0.0,0.0,0.0
