dataset,group,seed,sample_index,sample_id,region,raw_auc,conditional_auc,conditional_pairs
flickr,C2,12345,46,10468313544,NearFP,0.491546630859375,0.1925248199338135,5137
flickr,C2,12345,46,10468313544,FarFP,0.2522735595703125,0.007540248624414102,4907
flickr,C2,12345,46,10468313544,HighAUDFP,0.08266129032258064,0.060126582278481014,1264
flickr,C2,12345,47,10476442285,FP,0.7880859375,0.6403054267793837,3667
flickr,C2,12345,47,10476442285,NearFP,0.7015838623046875,0.6301342812006319,5064
flickr,C2,12345,47,10476442285,FarFP,0.991851806640625,0.9709821428571429,896
flickr,C2,12345,47,10476442285,HighAUDFP,0.75390625,0.9242424242424242,132
flickr,C2,12345,48,10476446674,FP,0.8751220703125,0.4687168610816543,1886
flickr,C2,12345,48,10476446674,NearFP,0.8096771240234375,0.5274302213666987,3117
flickr,C2,12345,48,10476446674,FarFP,0.9791107177734375,0.1981981981981982,111
flickr,C2,12345,48,10476446674,HighAUDFP,,,0
flickr,C2,12345,49,10477544895,FP,0.6827239990234375,0.5483081940481044,4906
flickr,C2,12345,49,10477544895,NearFP,0.5865936279296875,0.5557461406518011,5830
flickr,C2,12345,49,10477544895,FarFP,0.7643585205078125,0.3221070811744387,3474
flickr,C2,12345,49,10477544895,HighAUDFP,0.46015625,0.8083333333333333,240
flickr,C2,12345,50,10481128583,FP,0.309844970703125,0.33453784709014833,5258
flickr,C2,12345,50,10481128583,NearFP,0.4155426025390625,0.35158680771624146,4821
flickr,C2,12345,50,10481128583,FarFP,0.2581024169921875,0.42408585055643877,5032
flickr,C2,12345,50,10481128583,HighAUDFP,0.697265625,0.021628498727735368,786
flickr,C2,12345,51,10520382525,FP,0.7801055908203125,0.29993718592964824,3184
flickr,C2,12345,51,10520382525,NearFP,0.7619476318359375,0.3463572267920094,3404
flickr,C2,12345,51,10520382525,FarFP,,,0
flickr,C2,12345,51,10520382525,HighAUDFP,0.38671875,0.5714285714285714,21
flickr,C2,12345,52,10545790805,FP,0.45965576171875,0.13636363636363635,5258
flickr,C2,12345,52,10545790805,NearFP,0.4152679443359375,0.12391876645355397,5318
flickr,C2,12345,52,10545790805,FarFP,,,0
flickr,C2,12345,52,10545790805,HighAUDFP,,,0
flickr,C2,12345,53,10548273474,FP,0.091552734375,0.06670483824792442,6986
flickr,C2,12345,53,10548273474,NearFP,0.123443603515625,0.05347394540942928,8060
flickr,C2,12345,53,10548273474,FarFP,0.0446014404296875,0.045647123137898045,7317
flickr,C2,12345,53,10548273474,HighAUDFP,0.19644007731958762,0.16268739589117157,1801
flickr,C2,12345,54,10549911663,FP,0.61553955078125,0.7131882202304738,3905
flickr,C2,12345,54,10549911663,NearFP,0.3296661376953125,0.6828929068150209,4314
flickr,C2,12345,54,10549911663,FarFP,0.7411651611328125,0.7388505747126437,4350
flickr,C2,12345,54,10549911663,HighAUDFP,0.2903761061946903,0.6208791208791209,1638
flickr,C2,12345,55,10555704135,FP,0.5787200927734375,0.5530749789385004,2374
flickr,C2,12345,55,10555704135,NearFP,0.5886993408203125,0.5841092489137182,3222
flickr,C2,12345,55,10555704135,FarFP,0.5909881591796875,0.5664610207515424,1783
flickr,C2,12345,55,10555704135,HighAUDFP,0.8138020833333334,0.8686868686868687,99
flickr,C2,12345,56,10557361454,FP,0.5265350341796875,0.5153664302600472,4653
flickr,C2,12345,56,10557361454,NearFP,0.3441314697265625,0.34709754637941354,5013
flickr,C2,12345,56,10557361454,FarFP,0.6585540771484375,0.644251116858688,4253
flickr,C2,12345,56,10557361454,HighAUDFP,0.3102921195652174,0.357307249712313,1738
flickr,C2,12345,57,10610974774,FP,0.6915283203125,0.7736090775988287,5464
flickr,C2,12345,57,10610974774,NearFP,0.6887054443359375,0.7741698770867731,5451
flickr,C2,12345,57,10610974774,FarFP,,,0
flickr,C2,12345,57,10610974774,HighAUDFP,,,0
flickr,C2,12345,58,10624261424,FP,0.816436767578125,0.7393233499722685,5409
flickr,C2,12345,58,10624261424,NearFP,0.79266357421875,0.7240143369175627,5859
flickr,C2,12345,58,10624261424,FarFP,,,0
flickr,C2,12345,58,10624261424,HighAUDFP,0.9146012931034483,0.97,700
flickr,C2,12345,59,10635080206,FP,0.8146514892578125,0.7435836501901141,4208
flickr,C2,12345,59,10635080206,NearFP,0.8139801025390625,0.7356007944389275,4028
flickr,C2,12345,59,10635080206,FarFP,0.91796875,0.0,6
flickr,C2,12345,59,10635080206,HighAUDFP,0.8310971467391305,0.9234303215926493,1959
flickr,C2,12345,60,10654057765,FP,0.59674072265625,0.6322885659254072,5711
flickr,C2,12345,60,10654057765,NearFP,0.69464111328125,0.7441166139796277,5694
flickr,C2,12345,60,10654057765,FarFP,0.5245819091796875,0.5774493705528189,5481
flickr,C2,12345,60,10654057765,HighAUDFP,0.8671875,0.8578947368421053,570
flickr,C2,12345,61,10659354545,FP,0.0933074951171875,0.15694475016508916,4543
flickr,C2,12345,61,10659354545,NearFP,0.1043548583984375,0.26782077393075354,2946
flickr,C2,12345,61,10659354545,FarFP,0.1107025146484375,0.1368936567164179,4288
flickr,C2,12345,61,10659354545,HighAUDFP,0.09372674851190477,0.2045602605863192,3070
flickr,C2,12345,62,10666396623,FP,0.8988800048828125,0.8606953718627677,4343
flickr,C2,12345,62,10666396623,NearFP,0.9006195068359375,0.8624791815369974,4203
flickr,C2,12345,62,10666396623,FarFP,,,0
flickr,C2,12345,62,10666396623,HighAUDFP,,,0
flickr,C2,12345,63,10667001125,FP,0.6964111328125,0.317156862745098,4080
flickr,C2,12345,63,10667001125,NearFP,0.5779266357421875,0.3843142939982604,6898
flickr,C2,12345,63,10667001125,FarFP,0.9651336669921875,0.75,24
flickr,C2,12345,63,10667001125,HighAUDFP,0.42367311507936506,0.39588581024349284,2382
flickr,C2,12345,64,10701841844,FP,0.4202423095703125,0.34777687954729186,6185
flickr,C2,12345,64,10701841844,NearFP,0.5121612548828125,0.4956913435174305,5106
flickr,C2,12345,64,10701841844,FarFP,0.2892608642578125,0.22820154841985024,7879
flickr,C2,12345,64,10701841844,HighAUDFP,0.364013671875,0.20374707259953162,427
flickr,C2,12345,65,10743985374,FP,0.63909912109375,0.7929775769163915,5753
flickr,C2,12345,65,10743985374,NearFP,0.6452178955078125,0.7897171321828856,5621
flickr,C2,12345,65,10743985374,FarFP,,,0
flickr,C2,12345,65,10743985374,HighAUDFP,0.8747632575757576,0.8315972222222222,576
flickr,C2,12345,66,10751849775,FP,0.95849609375,0.8661624465636304,3041
flickr,C2,12345,66,10751849775,NearFP,0.932373046875,0.8758370001913143,5227
flickr,C2,12345,66,10751849775,FarFP,0.9781646728515625,0.8095975232198143,1292
flickr,C2,12345,66,10751849775,HighAUDFP,0.8770380434782609,0.9525641025641025,1560
flickr,C2,12345,67,10761625676,FP,0.8625946044921875,0.7187900538323507,3901
flickr,C2,12345,67,10761625676,NearFP,0.8538970947265625,0.6706627459850713,4421
flickr,C2,12345,67,10761625676,FarFP,0.9249195772058824,0.5,88
flickr,C2,12345,67,10761625676,HighAUDFP,0.7651515151515151,0.8867724867724868,945
flickr,C2,12345,68,10771238614,FP,0.47344970703125,0.3491285403050109,3672
flickr,C2,12345,68,10771238614,NearFP,0.6233062744140625,0.48338779956427014,3672
flickr,C2,12345,68,10771238614,FarFP,0.1645660400390625,0.06930109112356238,3391
flickr,C2,12345,68,10771238614,HighAUDFP,,,0
flickr,C2,12345,69,10795023275,FP,0.61090087890625,0.5494648070061628,6166
flickr,C2,12345,69,10795023275,NearFP,0.5831756591796875,0.5722634299842662,8898
flickr,C2,12345,69,10795023275,FarFP,0.745513916015625,0.9154929577464789,284
flickr,C2,12345,69,10795023275,HighAUDFP,0.64715576171875,0.5527638190954773,1592
flickr,C2,12345,70,10796050285,FP,0.6547393798828125,0.6232734806629834,5792
flickr,C2,12345,70,10796050285,NearFP,0.6446075439453125,0.6909864223785376,6113
flickr,C2,12345,70,10796050285,FarFP,0.6319427490234375,0.4991237294076411,5706
flickr,C2,12345,70,10796050285,HighAUDFP,0.671142578125,0.8094302554027505,509
flickr,C2,12345,71,10805310706,FP,0.7063140869140625,0.5457634317264812,4709
flickr,C2,12345,71,10805310706,NearFP,0.57879638671875,0.43405396346572817,5967
flickr,C2,12345,71,10805310706,FarFP,0.8673553466796875,0.6836012861736335,3110
flickr,C2,12345,71,10805310706,HighAUDFP,0.4699280753968254,0.5744069015097053,2782
flickr,C2,12345,72,10847897294,FP,0.27825927734375,0.2541390728476821,6040
