sample_index,sample_id,IoU_AUD_FINE,IoU_IMG_L4,IoU_IMG_FINE,IoU_IMG_VALUE,IoU_IMG_VALUE_RES,IoU_IQR_OLD,IoU_IQR_FINE,IoU_IQR_VALUE,IoU_IQR_VALUE_RES,delta_IMG_VALUE_vs_IMG_FINE,delta_IMG_VALUE_RES_vs_IMG_FINE,delta_IQR_VALUE_vs_IQR_FINE,delta_IQR_VALUE_RES_vs_IQR_FINE,delta_IQR_VALUE_vs_AUD_FINE,delta_IQR_VALUE_RES_vs_AUD_FINE,IMG_FINE_vs_IMG_VALUE_pixel_pearson,IMG_FINE_vs_IMG_VALUE_pixel_cosine,IMG_FINE_vs_IMG_VALUE_mean_absolute_difference,IMG_FINE_vs_IMG_VALUE_RES_pixel_pearson,IMG_FINE_vs_IMG_VALUE_RES_pixel_cosine,IMG_FINE_vs_IMG_VALUE_RES_mean_absolute_difference
173,3413119417,0.6867051685917629,0.8197118295193123,0.8240645185949623,0.5175436693067158,0.8232468416672971,0.7909307710918329,0.7600366156662743,0.686699722910894,0.7506684707322573,-0.3065208492882465,-0.0008176769276652118,-0.07333689275538036,-0.009368144934017053,-5.445680868909619e-06,0.0639633021404944,0.457416693202307,0.9331260636409751,0.27466515883889736,0.99983496159534,0.9999367375933266,0.007800574195716264
174,3416359816,0.40957720399135894,0.4833829968377524,0.4331988221180063,0.042979867186676506,0.4304923626909327,0.44457945752674655,0.42002058536327885,0.4087595924338475,0.4182166876839008,-0.3902189549313298,-0.002706459427073593,-0.011260992929431335,-0.0018038976793780526,-0.0008176115575114218,0.00863948369254186,-0.6000880396823904,0.8050753287656508,0.364767884982198,0.999705792540391,0.999977691878705,0.005294576700684237
175,3484198977,0.6145078020766865,0.622250198780811,0.6539190491487311,0.2742933298232913,0.6511079228439344,0.6404089369503745,0.6285290415392915,0.6146105214314715,0.6259008874858538,-0.3796257193254398,-0.0028111263047967405,-0.01391852010781991,-0.002628154053437637,0.00010271935478500804,0.01139308540916728,-0.2157610648419948,0.8556127650828275,0.3075341871856381,0.9999619955959624,0.9999934459969209,0.0033656499698294312
176,3535748358,0.6576658635482164,0.7037092382280666,0.7244208798838604,0.41689240566486074,0.7221643463711841,0.6916330356859132,0.6852137839147286,0.6557954012200845,0.6801114961579027,-0.30752847421899965,-0.0022565335126762953,-0.02941838269464414,-0.005102287756825974,-0.0018704623281319277,0.02244563260968624,0.37807219189334,0.9377161554222396,0.20582245144182462,0.9995558852953588,0.9999494363843655,0.00578928424713131
177,3568893693,0.7306137089936737,0.5778700633597058,0.7004318497036943,0.3155628202307233,0.7014899460210234,0.6799947775565492,0.7148973153930341,0.7311901728249861,0.7189736117856564,-0.384869029472971,0.0010580963173291158,0.016292857431951968,0.004076296392622303,0.0005764638313123793,-0.011640097208017286,0.475497547722525,0.9415195274470172,0.1951456007078638,0.9999428231714382,0.9999929676564786,0.0017234826977287133
178,3668283413,0.7321295010150657,0.6443071118869306,0.7406972084947242,0.6180089184978241,0.7354891318878165,0.6962136374852631,0.7345235551757291,0.7320092958649428,0.7324571947538532,-0.12268828999690007,-0.005208076606907697,-0.0025142593107863043,-0.0020663604218759124,-0.00012020515012289845,0.0003276937387874934,0.4668400589947509,0.961498026052386,0.14969940581582827,0.9996822132200402,0.9999732523362415,0.003984505148506178
179,3709678770,0.7750113011824605,0.7253240640162213,0.7879689797467153,0.31666666666666665,0.775171448233312,0.7531979744162046,0.7851537494961948,0.7767799795418322,0.7787227480843594,-0.47130231308004866,-0.012797531513403348,-0.008373769954362564,-0.006431001411835391,0.001768678359371667,0.0037114469018988405,0.12422254721981055,0.8638861995293354,0.32200199457362977,0.9994203582274287,0.9999478607668965,0.00588916546284476
180,3719297546,0.6406421426266538,0.6100633591463188,0.6282914764079147,0.43238993710691825,0.63291306981675,0.6365873808130529,0.6405679374722687,0.6397373587820657,0.6425910876337532,-0.19590153930099646,0.004621593408835278,-0.0008305786902029766,0.002023150161484466,-0.0009047838445880307,0.0019489450070994119,0.5052396766336686,0.9401616998937267,0.2029131052838693,0.9999397471861473,0.9999811136053174,0.004567547484581626
181,3727937033,0.6359403147411713,0.633969357642398,0.6431289640591966,0.2928399034593725,0.64633346198379,0.6571176080712865,0.6470799253838427,0.635218953362256,0.6455400734114963,-0.3502890605998241,0.00320449792459343,-0.011860972021586758,-0.0015398519723464066,-0.0007213613789153195,0.009599758670325031,0.29856100392352397,0.9059668198671886,0.2180990994955642,0.9998878385034389,0.9999786329282121,0.0032099612880284608
182,3749326537,0.536760198656442,0.5666010801959671,0.5327481096114925,0.031444861061174174,0.5325233018504958,0.5473320321967523,0.5335165313405369,0.5367064857089249,0.5335430681804051,-0.5013032485503184,-0.00022480776099675914,0.0031899543683879816,2.6536839868196438e-05,-5.371294751710387e-05,-0.003217130476036889,-0.40598987056123426,0.869857153083681,0.362000377363868,0.9999845153240695,0.9999988107201987,0.0010585283420367637
