sample_index,sample_id,IoU_AUD_FINE,IoU_IMG_L4,IoU_IMG_FINE,IoU_IQR_OLD,IoU_IQR_FINE,IoU_IQR_FINE_EVALSPACE,delta_IQR_FINE_vs_IQR_OLD,delta_IQR_FINE_vs_AUD_FINE,delta_IQR_FINE_EVALSPACE_vs_IQR_FINE,AUD_FINE_raw_reconstruction_max_abs_error,IMG_L4_raw_reconstruction_max_abs_error,AUD_FINE_final_map_max_abs_error,IMG_L4_final_map_max_abs_error,IQR_OLD_final_map_max_abs_error
60,-aK9JKAGme0_000041,0.3420765545700327,0.351171057116424,0.33239618380421254,0.3438706908882849,0.3375772327279536,0.3377669539153241,-0.006293458160331333,-0.004499321842079129,0.00018972118737048405,0.0,0.0,0.0,0.0,0.0
61,-aK9JKAGme0_000051,0.07847082494969819,0.07634807954492032,0.0852346318621102,0.08076624385192856,0.08311872835449782,0.08281353682813537,0.002352484502569266,0.004647903404799633,-0.00030519152636244995,0.0,0.0,0.0,0.0,0.0
62,-aUJLRXkj-Y_000118,0.13887860843819394,0.14922893413989946,0.1602234308393356,0.14125843675157848,0.1445364928032582,0.1454022455228728,0.0032780560516797175,0.0056578843650642585,0.0008657527196145876,0.0,0.0,0.0,0.0,0.0
63,-cA9HsnV1ao_000030,0.34468520842967565,0.3596370545073375,0.4155900425397826,0.34984489795918366,0.3625466353461379,0.36338457277385405,0.012701737386954237,0.017861426916462253,0.0008379374277161511,0.0,0.0,0.0,0.0,0.0
64,-d1KR2BSfHM_000065,0.6681926751592356,0.660797426563955,0.6809616098305225,0.6694751551518638,0.6742898702977899,0.6743716156146448,0.0048147151459260185,0.006097195138554223,8.174531685489761e-05,0.0,0.0,0.0,0.0,0.0
65,-e4wXAy1iVo_000000,0.5498220640569395,0.47174728278141487,0.4904278901054611,0.511518771331058,0.5238848704038578,0.5210888423571642,0.01236609907279973,-0.02593719365308167,-0.002796028046693544,0.0,0.0,0.0,0.0,0.0
66,-fAVezaAX18_000126,0.6771567397110403,0.6658395901137498,0.6397949974213513,0.6840852049681446,0.6609715998839496,0.6585538828535508,-0.02311360508419502,-0.01618513982709069,-0.002417717030398836,0.0,0.0,0.0,0.0,0.0
67,-fJsZm3YRc0_000030,0.6589139396406942,0.5377474117923176,0.5089856282114817,0.615979047273293,0.6211264710416774,0.6150877373539855,0.005147423768384396,-0.03778746859901683,-0.006038733687691922,0.0,0.0,0.0,0.0,0.0
68,-fPdOa99Iwg_000030,0.400601720134733,0.31144335825186886,0.3493158473259296,0.39487052846962534,0.3994366390711415,0.3953764078245406,0.004566110601516182,-0.0011650810635914777,-0.004060231246600932,0.0,0.0,0.0,0.0,0.0
69,-fTfRh0_RQ4_000030,0.31374079857238457,0.32150408594776847,0.3205972020400604,0.3141174171575333,0.3163962545342069,0.31633398931684004,0.0022788373766736147,0.0026554559618223172,-6.226521736685253e-05,0.0,0.0,0.0,0.0,0.0
70,-g-GjgEq8l4_000017,0.13142717646699825,0.15590950226244343,0.15349251603706343,0.14424461636357547,0.14085750727671126,0.14170093765421946,-0.0033871090868642095,0.009430330809713006,0.0008434303775081975,0.0,0.0,0.0,0.0,0.0
71,-gCqnkIUmp0_000140,0.08954821308159137,0.13228877429591432,0.13542230644288034,0.1025575316488135,0.10085306143051839,0.10102133683891192,-0.0017044702182951038,0.011304848348927019,0.00016827540839352284,0.0,0.0,0.0,0.0,0.0
