scale,dataset,sample_id,sample_index,signal,auroc_removefp_vs_removetp,ap_removefp_vs_removetp,auroc_removefp_vs_retainedfp,ap_removefp_vs_retainedfp,ogl_minus_aud_iou,groupA,ogl_help,aud_better
144k,vggss,Fl0yc47JSWM_000025,1561,aud_query_ratio,0.45437052945149725,0.9039913805127526,0.6151869526261768,0.7723754949407006,0.17960619041941012,True,True,False
144k,vggss,Fot4v0DdGyE_000020,1568,positive_excess,,,0.47309358251128303,0.4191038484000493,0.1142102123594319,True,True,False
144k,vggss,Fot4v0DdGyE_000020,1568,aud_minus_iqr,,,0.4737901708718539,0.42268302218627085,0.1142102123594319,True,True,False
144k,vggss,Fot4v0DdGyE_000020,1568,aud_times_one_minus_query,,,0.8981407880811764,0.8030174726554106,0.1142102123594319,True,True,False
144k,vggss,Fot4v0DdGyE_000020,1568,aud_query_ratio,,,0.20623173936529293,0.2829140152514232,0.1142102123594319,True,True,False
144k,vggss,FpYuJwh_vo8_000070,1569,positive_excess,0.24830825973723647,0.8641114319680904,0.8539728933830709,0.917131808530514,0.19276956750441965,True,True,False
144k,vggss,FpYuJwh_vo8_000070,1569,aud_minus_iqr,0.2549812554257419,0.8669054325764525,0.8558614939422057,0.9131427035154288,0.19276956750441965,True,True,False
144k,vggss,FpYuJwh_vo8_000070,1569,aud_times_one_minus_query,0.3789949626482632,0.8982271700153006,0.9522610573269409,0.974798542428711,0.19276956750441965,True,True,False
144k,vggss,FpYuJwh_vo8_000070,1569,aud_query_ratio,0.300695505343699,0.8839814948627869,0.8644283495748938,0.9287149128811636,0.19276956750441965,True,True,False
144k,vggss,Fsu8KjtWhPo_000079,1577,positive_excess,0.12044328042707919,0.1701501878483426,0.19676860675891528,0.7921894565792701,-0.1126555349264518,False,False,True
144k,vggss,Fsu8KjtWhPo_000079,1577,aud_minus_iqr,0.12339867403993278,0.1701494995384818,0.21643873723505447,0.7922060435191944,-0.1126555349264518,False,False,True
144k,vggss,Fsu8KjtWhPo_000079,1577,aud_times_one_minus_query,0.12650702702646457,0.10249031379300211,0.7279742996105458,0.8340561300103941,-0.1126555349264518,False,False,True
144k,vggss,Fsu8KjtWhPo_000079,1577,aud_query_ratio,0.10906185437747357,0.10113963189716331,0.03414454674348068,0.6125843861867659,-0.1126555349264518,False,False,True
144k,vggss,FsywuRmOMTM_000030,1578,positive_excess,0.5170284541960127,0.33586720059615166,0.9433649971214737,0.9947055536429206,-0.13541859926324185,False,False,True
144k,vggss,FsywuRmOMTM_000030,1578,aud_minus_iqr,0.5129500949984486,0.33301955638493375,0.9569859441452142,0.9946777351800862,-0.13541859926324185,False,False,True
144k,vggss,FsywuRmOMTM_000030,1578,aud_times_one_minus_query,0.49992767083073,0.3297972356443704,0.9628488079715833,0.9967767897851538,-0.13541859926324185,False,False,True
144k,vggss,FsywuRmOMTM_000030,1578,aud_query_ratio,0.5064437001364408,0.33112653793685365,0.9494073421759838,0.9956510020347547,-0.13541859926324185,False,False,True
144k,vggss,G7qe64jM9zs_000200,1595,positive_excess,0.03644700906825052,0.9623565636310039,0.5303929676463303,0.619879402713899,0.1227271116735511,True,True,False
144k,vggss,G7qe64jM9zs_000200,1595,aud_minus_iqr,0.0356460244648318,0.9623770347858264,0.5345419885527989,0.6220117007230956,0.1227271116735511,True,True,False
144k,vggss,G7qe64jM9zs_000200,1595,aud_times_one_minus_query,0.02386271234378038,0.9552954685956104,0.7650193096050978,0.7654061973642114,0.1227271116735511,True,True,False
144k,vggss,G7qe64jM9zs_000200,1595,aud_query_ratio,0.024622819112266,0.9553537105011237,0.5298235048262838,0.6315607201399573,0.1227271116735511,True,True,False
144k,vggss,GHowpWCU9Lo_000030,1607,positive_excess,0.6168206400133494,0.02579961317954888,0.15573692248949983,0.12991085187369059,-0.1295634431665028,False,False,True
144k,vggss,GHowpWCU9Lo_000030,1607,aud_minus_iqr,0.6068749478538543,0.02511952087812038,0.27129868270332186,0.14707420317049655,-0.1295634431665028,False,False,True
