sample_index,sample_id,IoU_AUD_L4,IoU_AUD_FINE,IoU_IMG_L4,IoU_IMG_FINE,IoU_IQR_FINE
205,4938432980,0.6318137436449951,0.6261204225117457,0.6290311766677841,0.6261923820959242,0.6257574748618233
206,4957886467,0.7361864113507902,0.7501241391221745,0.7181812091028876,0.7294302121077278,0.7417317778015626
207,4965189170,0.5919085483212474,0.5398184681257631,0.5969799120783803,0.5594202898550724,0.5432041518788678
208,5006362787,0.6255844052933253,0.6783016410523574,0.6236630133368546,0.6531018409406343,0.6694421967581112
209,5130986168,0.4246993294781282,0.4292852449946402,0.40415900155105866,0.4130742800467571,0.424860529986053
210,5179649119,0.459482351408141,0.5266011948862651,0.5114322928926761,0.5211189190002558,0.5264586791603966
211,5194793239,0.5045430768932716,0.5039486012581984,0.4735543837697739,0.477419124600753,0.4971727001183521
212,5220919991,0.4241436420515786,0.4755250114966021,0.4167806597569317,0.46257927032786467,0.47013053493729207
213,5237296528,0.5293015310480221,0.5514402252838146,0.5752894753865062,0.5967279903240181,0.5707606181997397
214,5303633386,0.5810064651406605,0.5666062376204385,0.6068113165843955,0.5926807760141094,0.576132672251667
215,5344317532,0.5835423085190227,0.5898147822725196,0.5774724085695737,0.5811066694719125,0.5981933997912693
216,5480070309,0.5555695134863521,0.5121067965959408,0.5385602080441391,0.5082315627707751,0.511166253101737
217,5490101320,0.7286046890988092,0.7207481955880858,0.7321144298211049,0.7585634594993316,0.7394392412037106
218,5601291878,0.495255763619147,0.5040004394075321,0.4548191027496382,0.4701233297186024,0.4983155685646435
219,5607310495,0.5402342999807951,0.5759235869908431,0.48377259157009406,0.5286142676767677,0.5685154203099846
220,5697766486,0.4539567150685437,0.4720777752656568,0.47404757783803536,0.4949744542498839,0.4819902921316115
221,5801923729,0.6288017284360977,0.6102841464568419,0.6305598094265782,0.6175848814862268,0.6133915806195394
222,5873098388,0.6787212078198593,0.7296805111821086,0.6385158785718832,0.705372481649227,0.7220882642215807
223,5906878321,0.45362208326978803,0.4570138452797464,0.40373606507984333,0.40793150067598016,0.44314195772747716
224,5991393107,0.6516115510711238,0.6866694501634104,0.633740823924873,0.6711436535101021,0.6801915504334406
225,6067281197,0.6643005511849659,0.6788389364835548,0.663633158151015,0.6804691753138559,0.6785941242606442
226,6098668510,0.4649139665090774,0.4783989916528405,0.26774197873510047,0.25151155185990953,0.4063237191601392
227,6158154336,0.7426144696762131,0.8217367124811313,0.7074475800602769,0.7783454478056957,0.8051271329548562
228,6185482260,0.6087672784370254,0.6288762374990553,0.6370831195484864,0.6543527630582892,0.6391045679136835
229,6289328021,0.6421076994291004,0.6010879746379422,0.6223643730772117,0.5788174771455386,0.5916332540893446
230,6458319057,0.6006629548846286,0.5940042223786066,0.6489635322575706,0.6215780070312951,0.6068237436685447
231,6669466181,0.605104046886012,0.6312817213524913,0.5856340318586687,0.6074852241602998,0.6232630785250081
232,6755812421,0.46603368165873904,0.5189940671212255,0.4891806554043206,0.5299588033861183,0.5241888785555107
233,6897499873,0.6086937353965525,0.5884086851828787,0.4808533428545925,0.5131404640827315,0.5837245368429876
234,7178293884,0.6045336885225302,0.6293233082706767,0.6185299136460003,0.633006071566981,0.6351511037361091
235,7387939334,0.5917138284356592,0.6074686933795116,0.587009867009867,0.5992156862745098,0.6043550709397699
236,7560517176,0.5684813215693636,0.5766058171645806,0.544366652714889,0.5553692485215636,0.569270608545533
237,7623513024,0.5426399875911276,0.48757617073374326,0.5288243304584658,0.47339692490609886,0.48273962035429924
238,7733838448,0.6574421226501664,0.6740887030152829,0.6632854177068825,0.6795725206719018,0.6756914081701291
239,7740990330,0.7516795047659245,0.7526272829303132,0.7397888696021822,0.7356822922009095,0.7475763077660923
240,7897462346,0.7950653623062939,0.7998343313717707,0.8315979843028463,0.8478462210572302,0.8186833203226646
241,8250285374,0.5750620763707134,0.600982800982801,0.4818549642079054,0.5335955772910908,0.5787695362541635
242,8294094053,0.6187162212186273,0.6624294293214427,0.5764042538005852,0.6224162324441838,0.6536083211209207
243,8311669586,0.5710428290254892,0.5805225582400548,0.5774746226972447,0.6136493385747142,0.5979126869496343
244,8396975855,0.6451503167921079,0.5372521246458923,0.6805212866179176,0.5726661885168548,0.5494513453807989
245,9060997789,0.7092332093147354,0.7391587823642765,0.7501920996095282,0.7761833567101836,0.7599688543491607
246,9309351423,0.5300279329608939,0.5176424970918961,0.6475336322869956,0.6438968397401456,0.5675350610447965
247,9456627660,0.6459965995036057,0.6408666458749931,0.655210223081677,0.6547540798888242,0.6475999330991805
248,9636000842,0.7208307604259229,0.7793266740658528,0.6944923709360419,0.748343197886378,0.7681345809865922
249,9761803312,0.6614954416609209,0.6522758176483218,0.6893687707641196,0.696590144320646,0.6712589073634204
